codepoint,strokes,radical_codepoint,radical_strokes
132313,24,20799,2
132311,24,20799,2
20837,2,20837,2
132315,3,20837,2
20838,3,20837,2
20839,4,20837,2
132316,4,20837,2
132317,4,20837,2
132318,4,20837,2
13488,5,20837,2
132319,5,20837,2
131538,6,20837,2
20840,6,20837,2
132320,6,20837,2
13490,6,20837,2
132321,6,20837,2
132323,6,20837,2
13491,7,20837,2
132324,7,20837,2
132327,7,20837,2
13492,7,20837,2
132326,7,20837,2
20841,8,20837,2
20842,9,20837,2
132330,9,20837,2
132331,9,20837,2
132333,10,20837,2
132334,10,20837,2
132337,11,20837,2
132340,13,20837,2
132341,13,20837,2
132342,13,20837,2
132344,14,20837,2
132349,17,20837,2
132351,20,20837,2
20843,2,20843,2
132352,3,20843,2
20844,4,20843,2
20845,4,20843,2
132353,4,20843,2
20846,4,20843,2
132357,5,20843,2
131524,6,20843,2
20849,6,20843,2
132360,6,20843,2
20850,6,20843,2
20853,7,20843,2
132362,7,20843,2
132363,7,20843,2
132364,7,20843,2
13493,7,20843,2
13494,7,20843,2
132365,7,20843,2
132366,7,20843,2
20854,8,20843,2
20855,8,20843,2
20856,8,20843,2
132369,8,20843,2
132368,8,20843,2
13496,9,20843,2
132370,9,20843,2
132371,9,20843,2
132372,9,20843,2
132373,9,20843,2
132374,9,20843,2
20860,10,20843,2
132377,10,20843,2
132378,10,20843,2
132379,10,20843,2
132380,11,20843,2
132382,12,20843,2
132383,12,20843,2
132384,12,20843,2
132391,12,20843,2
20862,13,20843,2
132396,13,20843,2
132392,13,20843,2
132399,14,20843,2
132400,14,20843,2
132401,14,20843,2
20864,16,20843,2
132406,18,20843,2
132408,19,20843,2
132409,19,20843,2
13497,20,20843,2
20866,2,20866,2
132412,3,20866,2
20867,4,20866,2
20868,4,20866,2
132413,4,20866,2
132414,4,20866,2
20873,5,20866,2
132417,5,20866,2
20875,5,20866,2
132418,5,20866,2
132419,5,20866,2
132420,5,20866,2
132427,6,20866,2
20877,6,20866,2
20878,6,20866,2
132428,6,20866,2
132429,6,20866,2
20879,7,20866,2
132432,7,20866,2
132433,7,20866,2
132437,7,20866,2
132434,7,20866,2
132438,8,20866,2
20880,8,20866,2
132439,8,20866,2
132440,8,20866,2
143770,8,20866,2
20881,9,20866,2
20882,9,20866,2
132443,9,20866,2
20883,10,20866,2
20884,10,20866,2
132446,10,20866,2
13499,11,20866,2
20885,11,20866,2
132448,11,20866,2
13500,11,20866,2
132449,11,20866,2
132451,12,20866,2
13501,12,20866,2
